友だちの増減
配信の反応
経路と成果
使われ方
クロス分析
ファネル
URLクリック
保存した分析

増えた友だち

486人

初回 432人

減った友だち

174人

ブロック・解除

差し引き

312人

増加 − 減少

現在つながっている

12,486人

再追加 54人

日ごとの増減
2026-07-27〜2026-08-25
日付	増加	減少	差し引き	同日の施策
2026-08-25	17	4	+13	—
2026-08-24	19	3	+16	—
2026-08-23	12	6	+6	—
2026-08-22	14	5	+9	—
2026-08-21	16	4	+12	—
2026-08-20	18	3	+15	—
2026-08-19	20	6	+14	—
2026-08-18	13	5	+8	—
2026-08-17	15	4	+11	—
2026-08-16	17	3	+14	—
2026-08-15	19	6	+13	—
2026-08-14	12	5	+7	—
2026-08-13	14	38	-24	夏のご案内
2026-08-12	16	3	+13	—
2026-08-11	18	6	+12	—
2026-08-10	20	5	+15	—
2026-08-09	13	4	+9	—
2026-08-08	15	3	+12	—
2026-08-07	17	6	+11	—
2026-08-06	19	5	+14	—
2026-08-05	12	4	+8	新規登録7日間フォロー
2026-08-04	14	3	+11	—
2026-08-03	16	6	+10	—
2026-08-02	18	5	+13	—
2026-08-01	20	4	+16	—
2026-07-31	13	3	+10	—
2026-07-30	15	6	+9	—
2026-07-29	17	5	+12	—
2026-07-28	19	4	+15	—
2026-07-27	12	3	+9	—
